"Bid Solicitation #","Organization Name","Contract #","Buyer","Description","Bid Opening Date","Bid Holder List","Awarded Vendor(s)","Status","Alternate Id"
"70CNR-S2608","Department of Conservation and Natural Resources","70CNR-NV24-20970","Nancy Feser","Environmental Cleanup - Black Mountain Complex","01/24/2024 14:00:00","","Broadbent & Associates, Inc.","Bid to PO",""
"43ADG-S2607","Adjutant General","43ADG-NV24-21990","Courtney  Dalton","Disaster Recovery Contractor","03/22/2024 14:00:00","","Witt O'Brien's LLC","Bid to PO",""
"70CNR-S2606","Department of Conservation and Natural Resources","","Jennifer Thomas","Wood Chippers","12/07/2023 12:00:00","","RDO Equipment Co","Bid to PO","RX 704 00000036121"
"30DOE-S2604","Department of Education","30DOE-NV24-21575","Courtney  Dalton","The Commission on School Funding (CSF) Accountability Project","02/01/2024 17:00:00","","WestEd","Bid to PO",""
"08DOA-S2603","Department of Administration","","Joel Smedes","State of Nevada Purchasing Division VenExpo24 Hospitality and Venue","12/19/2023 14:00:00","","Bid Solicitation Closed - No Qualifying Quotes Received","Closed",""
"80DOT-S2602","Department of Transportation","","Heather Moon","60K GVW Dump Trucks","01/04/2024 12:00:00","","Velocity Truck Centers","Bid to PO","NDEQ024443-024458"
"40DHHS-S2601","Department of Human Services","","Annette Morfin","Smart Communications Licensing Bid","12/20/2023 13:00:00","","Chase Global Services","Bid to PO","Monique Pomerleau, mpomerleau@dwss.nv.gov"
"80DOT-S2600","Department of Transportation","","Heather Moon","Pneumatic Rollers","12/21/2023 12:00:00","","Cashman Equipment Company","Bid to PO","RX 083-NDEQ024441/NDEQ024442"
"30DOE-S2599","Department of Education","30DOE-NV24-20335","Courtney  Dalton","Commission on IEE Support Project","12/11/2023 14:00:00","","The National Center on Education and the Economy","Bid to PO",""
"40DHHS-S2597","Department of Human Services","40DHHS-NV24-21965","Courtney  Dalton","Financial Management Services","02/06/2024 14:00:00","","Acumen Fiscal Agent","Bid to PO",""
"50COMR-S2596","Commission on Mineral Resources","","Frank Dulay","Rock and Mineral Exhibit Fabrication","12/28/2023 14:00:00","","3saurus LLC","Bid to PO",""
"80DOT-S2595","Department of Transportation","","Heather Moon","Motor Graders","12/21/2023 12:00:00","","Cashman Equipment Company","Bid to PO","NDEQ024436 and NDEQ024437"
"72DOW-S2594","Department of Wildlife","72DOW-NV24-20656 72DOW-NV24-20655","Teri Becker","Wildlife Tracking Equipment","12/15/2023 14:00:00","","Lotek Wireless, Inc., Track Tag, LLC","Bid to PO",""
"99SWC-S2593","Statewide Contracts","","Teri Becker","Automated External Defibrillators and Accessories","01/04/2024 13:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","State of OK EBV00000354"
"80DOT-S2592","Department of Transportation","","Heather Moon","AWD Front End Loaders","12/20/2023 12:00:00","","Pape' Machinery, Inc.","Bid to PO","RX 083-NDEQ024418 - NDEQ024435"
"43ADG-S2591","Adjutant General","","Chris Snidow","Classrooms renovations for Henderson Armory","11/29/2023 00:00:00","/bso/external/bidAckList.sdo","N/A","Closed","18-23-S"
"44DOC-S2590","Department of Corrections","44DOC-NV25-22888","Annette Morfin","Ombudsperson Services","06/12/2024 13:00:00","","Sabot Technologies, Inc.","Bid to PO",""
"10TCA-S2588","Department of Tourism And Cultural Affairs","10TCA-NV24-21056","Annette Morfin","Tourism Transportation Services","01/23/2024 13:00:00","","SW Excursion & Educational Tours, Inc","Bid to PO",""
"80DOT-S2587","Department of Transportation","","Jennifer Thomas","Electrical Equipment and Supplies","12/20/2023 12:00:00","","NEDCO SUPPLY","Bid to PO","RX 083-NDEQ024415"
"30DOE-S2586","Department of Education","30DOE-NV24-21731","Joel Wixon","Nevada Kindergarten Entry Assessment ","03/14/2024 14:00:00","","UTJ Holdco, Inc. DBA Teaching Strategies, LLC","Bid to PO",""
"69CRC-S2585","Colorado River Commission","","Gina Goodman","CRCMH-01 Combined Instrument Transformers","12/18/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"80DOT-S2584","Department of Transportation","","Annette Morfin","Model 3440 Plus Premium Surface Density Guage","12/07/2023 13:00:00","","Troxler Electronic Laboratories, Inc.","Bid to PO","NDHQ39224"
"80DOT-S2582","Department of Transportation","","Teri Becker","Rheometer and Accessories","11/21/2023 14:00:00","","Anton Paar USA","Bid to PO","RX NDHQ39424"
"80DOT-S2581","Department of Transportation","","Heather Moon","NETWORK EQUIPMENT","12/12/2023 12:00:00","","Lumen Technologies, Inc.","Bid to PO","RX 083-NDHQ38824"
"01GO-S2580","Governor's Office","01GO-NV24-20536","Joel Smedes","Needs Assessment for 50121 (HOMES) & 50122 (HEAR) Rebate Programs","12/13/2023 14:00:00","","Innovation Emergency Management Inc.","Bid to PO",""
"24VS-S2579","Department of Veterans Services","","Heather Moon","OUTDOOR VISITATION AREA FOR NORTHERN NEVADA STATE VETERANS HOME","12/21/2023 14:00:00","","Garden Shop Nursery Landscaping Division, Inc.","Bid to PO",""
"99SWC-S2578","Statewide Contracts","","Heather Moon","Procurement Assistance and Support Services (PASS)","12/20/2023 14:30:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"80DOT-S2576","Department of Transportation","","Heather Moon","DATA CENTER LAN SWITCHES AND RELATED EQUIPMENT","12/07/2023 12:00:00","","Transource Computers","Bid to PO","RX 083-NDHQ38224"
"99SWC-S2575","Statewide Contracts","","Teri Becker","MMCAP Infuse Innovative Solutions for Healthcare","01/03/2024 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse Reference 33637"
"99SWC-S2574","Statewide Contracts","","Teri Becker","MMCAP Infuse Pharmacy Related Supplies","11/30/2023 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse Reference 33631"
"70CNR-S2573","Department of Conservation and Natural Resources","","Teri Becker","Guardian Boats","11/20/2023 14:00:00","","Brunswick Commercial and Government Products, Inc.","Bid to PO","RX 704-36098"
"40DHHS-S2571","Department of Human Services","40DHHS-NV24-21680","Courtney  Dalton","Federal Health Facility Inspections","02/16/2024 00:00:00","","Healthcare Management Solutions, LLC","Bid to PO",""
"80DOT-S2570","Department of Transportation","","Annette Morfin","ICOU OVEN","11/08/2023 13:00:00","","Troxler Electronic Laboratories, Inc.","Bid to PO","NDHQ38524"
"70CNR-S2569","Department of Conservation and Natural Resources","","Annette Morfin","2024 State Park Passes","11/07/2023 13:00:00","","Rydin Decal Co.","Bid to PO","704 00000036072"
"69CRC-S2567","Colorado River Commission","","Gina Goodman","CRCBC-01 Transformers","12/18/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"40DHHS-S2566","Department of Human Services","","Teri Becker","Espresso Machine","11/21/2023 14:00:00","","Central Restaurant Products","Bid to PO","RX 409-36082"
"55AGR-S2565","Department of Agriculture","","Heather Moon","SKID STEER TRACTOR","11/30/2023 12:00:00","","Cashman Equipment Company","Bid to PO","RX 550-AGR-14"
"70CNR-S2564","Department of Conservation and Natural Resources","70CNR-NV24-20971","Nancy Feser","Statewide Outdoor Recreation Historic Context","12/19/2023 14:00:00","","SWCA Environmental Consultants","Bid to PO",""
"70CNR-S2563","Department of Conservation and Natural Resources","","Nancy Feser","Historic Context and Historic Structure Reports - Three Ranches ","01/16/2024 14:00:00","","Architectural Resources Group","Bid to PO",""
"80DOT-S2562","Department of Transportation","","Heather Moon","COMPACT TRACK LOADER WITH 78"" LOW PROFILE BUCKET","11/16/2023 12:00:00","","sonsray machinery - sparks","Bid to PO","RX 083-NDEQ024134"
"80DOT-S2561","Department of Transportation","","Heather Moon","TRACK SKID STEER","11/29/2023 12:00:00","","Cashman Equipment Company","Bid to PO","RX 083-NDEQ024150"
"80DOT-S2560","Department of Transportation","","Heather Moon","2023 CAT COMPACT TRACK LOADER","11/27/2023 12:00:00","","Cashman Equipment Company","Bid to PO","RX 083-NDEQ024149"
"80DOT-S2559","Department of Transportation","","Heather Moon","JOHN DEERE GATOR AND ACCESSORIES","11/28/2023 12:00:00","","Pape' Machinery, Inc. ","Bid to PO","RX 083-NDEQ024148"
"80DOT-S2558","Department of Transportation","","Joel Smedes","EZ Series 1500 Melter","11/17/2023 14:00:00","","Construction Sealants Supply","Bid to PO","RX 083 NDEQ024138"
"80DOT-S2557","Department of Transportation","","Joel Smedes","Rock Grizzly","11/15/2023 14:00:00","","Blue Line Enterprises Inc.","Bid to PO","RX 083 NDEQ024142"
"40DHHS-S2556","Department of Human Services","40DHHS-NV24-21473","Courtney  Dalton","Self-Directed Financial Management Services","01/16/2024 14:00:00","","Acumen Fiscal Agent","Bid to PO",""
"40DHHS-S2555","Department of Human Services","40DHHS-NV24-21352","Joel Wixon","Landscaping Services for Southern Nevada DHHS Campus","12/13/2023 14:00:00","","Greenscapes of Nevada LLC","Bid to PO",""
"80DOT-S2554","Department of Transportation","80DOT-NV24-19997","Heather Moon","Reflective Sign Sheeting","11/15/2023 12:00:00","","3M Company","Bid to PO",""
"65DPS-S2553","Department of Public Safety","","Annette Morfin","Pressure Washer","11/02/2023 13:00:00","","Impact Equipment Company","Bid to PO","651 HP000002279"
"80DOT-S2552","Department of Transportation","","Joel Smedes","Mechanical Soil Compactor","11/08/2023 14:00:00","","Humboldt Mfg. Co. ","Bid to PO","RX 083 NDHQ38424"
"08DOA-S2551","Department of Administration","","Heather Moon","RFI Website Redesign and Modernization","11/22/2023 14:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"80DOT-S2549","Department of Transportation","","Nancy Feser","Tracking Rock","11/09/2023 14:00:00","","Holcim SWR Inc","Bid to PO","RX 083NDEQ024397"
"80DOT-S2548","Department of Transportation","","Nancy Feser","Aggregate Base","11/08/2023 14:00:00","","Holcim SWR Inc","Bid to PO","RXQ 083NDEQ024396"
"80DOT-S2546","Department of Transportation","","Heather Moon","SNOW PLOW BLADES","11/01/2023 12:00:00","","Winter Equipment Company","Bid to PO","RX 083-NDEQ024394"
"80DOT-S2544","Department of Transportation","80DOT-NV24-20207","Joel Smedes","Herbicides (Open Term Contract)","11/09/2023 14:00:00","","Nutrien Ag Solutions","Bid to PO",""
"80DOT-S2543","Department of Transportation","","Teri Becker","Rheometer and Accessories","10/25/2023 14:00:00","","Anton Paar USA","Bid to PO","RX NDHQ38624"
"69CRC-S2540","Colorado River Commission","","Gina Goodman","CRCMH-02 Liquid-Filled Main Power Transformer","11/13/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"69CRC-S2539","Colorado River Commission","","Gina Goodman","CRCMH-03 Vacuum Medium-Voltage Circuit Breaker","11/13/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"69CRC-S2538","Colorado River Commission","","Gina Goodman","CRCMH-04 Gas High-Voltage Circuit Breaker","11/13/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"08DOA-S2537","Department of Administration","08DOA-NV24-20019","Joel Smedes","McCarran Center Roof Cleaning Services","11/13/2023 14:00:00","","Gorilla Property Services","Bid to PO",""
"90DETR-S2536","Department of Employment, Training and Rehabilitation","90DETR-NV24-23273","Teri Becker","Phone System and IVR Modernization","01/03/2024 14:00:00","","8x8 Inc","Bid to PO",""
"80DOT-S2535","Department of Transportation","","Heather Moon","FORKLIFT","11/02/2023 12:00:00","","OCTANE Forklifts, Inc.","Bid to PO","RX 083-NDEQ024136"
"08DOA-S2530","Department of Administration","08DOA-NV24-21566","Annette Morfin","OTC for Reprographic Printing Paper and Related Services","04/10/2024 13:00:00","","RGS ReproGraphic Solutions","Bid to PO","OTC-S2445"
"69CRC-S2528","Colorado River Commission","","Gina Goodman","CRCMH-01 Combined Instrument Transformers","11/13/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"80DOT-S2527","Department of Transportation","","Heather Moon","PISTON PUMPS","10/23/2023 12:00:00","","Morgan Ingland ","Bid to PO","RX 083-NDEQ024392"
"80DOT-S2526","Department of Transportation","","Annette Morfin","2023 CAT MODEL 309-07 EXCAVATOR","11/02/2023 13:00:00","","Cashman Equipment Company","Bid to PO","NDEQ024130"
"40DHHS-S2524","Department of Human Services","","Ryan Vradenburg","Request for Proposal Enterprise Parking","11/08/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","Heather Bugg"
"80DOT-S2523","Department of Transportation","80DOT-NV24-19648","Heather Moon","All Season Cold Patch","10/18/2023 12:00:00","","Crafco Inc.","Bid to PO","OTC"
"80DOT-S2522","Department of Transportation","","Annette Morfin","Compact Track Loader","10/31/2023 13:00:00","","Cashman Equipment Company","Bid to PO","NDEQ024131"
"01GO-S2521","Governor's Office","","Joel Smedes","Independent Verification and Validation (IV&V) Services","11/01/2023 14:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"80DOT-S2520","Department of Transportation","","Heather Moon","SANDBAG FILLING MACHINE","10/25/2023 12:00:00","","Sandbag Store LLC","Bid to PO","RX 083-NDEQ024132"
"43ADG-S2519","Adjutant General","","Teri Becker","Bobcat Utility Vehicles","10/25/2023 14:00:00","","Bobcat of Reno","Bid to PO","RX 431-36029"
"70CNR-S2518","Department of Conservation and Natural Resources","","Heather Moon","JOHN DEERE 544 P-TIER WHEEL LOADER W/KODIAK SNOW BLOWER","11/01/2023 12:00:00","","Pape' Machinery, Inc.","Bid to PO","RX 704-36046"
"58PUC-S2517","Public Utilities Commission","58PUC-NV24-20853","Heather Moon","Video Conferencing Replacement","12/12/2023 14:00:00","","CCS Presentation Systems","Bid to PO",""
"40DHHS-S2516","Department of Human Services","","Ryan Vradenburg","Request for Proposal Galletti Way Window Repair","11/08/2023 14:00:00","","N/A","Closed","Katrina Nielsen"
"80DOT-S2514","Department of Transportation","","Heather Moon","SELF-CONTAINED RADIAL STACKERS","10/23/2023 12:00:00","","Kimball Equipment Co.","Bid to PO","RX 083-NDEQ024388"
"99SWC-S2513","Statewide Contracts","99SWC-NV24-20570 99SWC-NV24-20568 99SWC-NV24-20571 99SWC-NV24-20572 99SWC-NV24-20567 99SWC-NV24-20569 99SWC-NV24-20566 99SWC-NV24-20573","Nancy Feser","ABANDONED MINE LANDS & BAT GATE INSTALLATION SERVICES","11/15/2023 14:00:00","","Broadbent & Associates, Inc., Environmental Protection Services, Frontier Environmental Solutions INC, HydroGeoLogic, Inc., McGinley & Associates, Inc., Mountain States Restoration, LLC, Transcon Environmental, Inc., Western Ecosystems Technology, Inc.","Bid to PO",""
"80DOT-S2511","Department of Transportation","","Heather Moon","PAVING COMPACT ROLLER","10/31/2023 12:00:00","","Cashman Equipment Company","Bid to PO","RX 083-NDEQ024128"
"72DOW-S2510","Department of Wildlife","","Teri Becker","Mercury Engine and Accessories","10/10/2023 14:00:00","","Custom Boat & Marine, Inc.","Bid to PO","RX 702-36033"
"80DOT-S2509","Department of Transportation","","Heather Moon","ASPHALT FURNACE","10/20/2023 12:00:00","","Gilson Co Inc","Bid to PO","RX 083-NDHQ38024"
"70CNR-S2508","Department of Conservation and Natural Resources","","Heather Moon","BELL 205A1++  HELICOPTER","10/30/2023 12:00:00","/bso/external/bidAckList.sdo","Eagle Copters LTD","Bid to PO","RXQ 706-R64558"
"44DOC-S2507","Department of Corrections","44DOC-NV24-24189","Annette Morfin","Legal Resource Research","10/08/2024 13:00:00","","LexisNexis","Bid to PO",""
"10TCA-S2506","Department of Tourism And Cultural Affairs","10TCA-NV24-20481","Annette Morfin","Mexico Representation Office","10/27/2023 13:00:00","","Global Marketing & Sales","Bid to PO",""
"05TO-S2505","Treasurer's Office","05TO-NV24-22895","Teri Becker","Banking and Merchant Services","01/04/2024 14:00:00","","Wells Fargo Bank, N.A.","Bid to PO",""
"08DOA-S2504","Department of Administration","08DOA-NV24-20121","Joel Smedes","Arrowhead Building Janitorial Services","10/26/2023 14:00:00","","Enterprise Janitorial Inc","Bid to PO",""
"40DHHS-S2503","Department of Human Services","","Ryan Vradenburg","Tilt Skillet","09/28/2023 14:00:00","","Cook's Correctional","Bid to PO","RX 409-36017"
"40DHHS-S2502","Department of Human Services","","Annette Morfin","Promotional Items","09/27/2023 13:00:00","","4imprint, Inc.","Bid to PO","406 00000036010"
"01GO-S2496","Governor's Office","01GO-NV24-20182","Joel Smedes","Capitol Building Assembly Room Audio\Video Conferencing Replacement","10/30/2023 14:00:00","","CCS Presentation Systems","Bid to PO",""
"05TO-S2495","Treasurer's Office","05TO-NV24-20469","Teri Becker","Legislative Funding for Non-Profits","11/13/2023 14:00:00","","Nevada GrantLab","Bid to PO","AB526"
"03AG-S2493","Attorney General's Office","","Joel Smedes","Outside Counsel on a Contingent Fee Basis (Special Contractor)","10/19/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"80DOT-S2492","Department of Transportation","","Heather Moon","SNOW PLOW BLADES","10/03/2023 12:00:00","","Kueper North America LLC","Bid to PO","RX 083-NDEQ024329"
"08DOA-S2490","Department of Administration","08DOA-NV24-19859","Joel Smedes","Tourism Laxalt Building Janitorial Services","10/11/2023 14:00:00","","Qual-Econ USA","Bid to PO",""
"70CNR-S2488","Department of Conservation and Natural Resources","","Heather Moon","2023 KENWORTH T480 WITH VALEW 4000 GALLON WATER TANK","10/03/2023 12:00:00","","Velocity Truck Centers","Bid to PO","RX 704-35971"
"13DAT-S2487","Department of Taxation","13DAT-NV24-19396","Annette Morfin","Cigarette Stamps","09/29/2023 14:00:00","","Meyercord Revenue Inc.","Bid to PO",""
"80DOT-S2486","Department of Transportation","","Joel Smedes","Street Light Poles and Safety Bases","09/20/2023 14:00:00","","NEDCO SUPPLY","Bid to PO","RX 083 NDEQ024331"
"65DPS-S2485","Department of Public Safety","","Heather Moon","ORAL FLUID MOBILE ANALYZER SYSTEM","09/15/2023 10:00:00","","Intoximeters Inc.","Bid to PO","RX 658-35995"
"80DOT-S2484","Department of Transportation","","Marti Marsh","Towable Attenuator","09/26/2023 14:00:00","","Award in Process","Opened","NDEQ024113"
"70CNR-S2483","Department of Conservation and Natural Resources","","Nancy Feser","FY24 FRO Firefighting Boots","10/12/2023 14:00:00","/bso/external/bidAckList.sdo","","Bid to PO","RX 706R62530"
"08DOA-S2482","Department of Administration","08DOA-NV24-20120","Joel Smedes","Landscaping Maintenance for Reno State Offices","10/11/2023 14:00:00","","American Lawn and Landscaping LLC","Bid to PO",""
"40DHHS-S2481","Department of Human Services","40DHHS-NV24-20483 40DHHS-NV24-20484 40DHHS-NV24-20482","Nancy Feser","Federal Waiver Technical Assistance","10/10/2023 14:00:00","","Manatt Health Strategies Llc., Mercer Health & Benefits LLC, Milliman","Bid to PO",""
"70CNR-S2480","Department of Conservation and Natural Resources","","Heather Moon","Trailer with Tool Storage and Portable Restroom","09/21/2023 12:00:00","/bso/external/bidAckList.sdo","BAUSS MANUFACTURING INC. ","Bid to PO","RX 706-R61503"
"70CNR-S2479","Department of Conservation and Natural Resources","","Nancy Feser","Certification of Wastewater Operators","10/04/2023 14:00:00","","Nevada Water Environment Association, Inc.","Bid to PO",""
"01GO-S2478","Governor's Office","01GO-NV24-21585","Joel Smedes","Fiber Marketing and Construction Partner for High Speed Nevada Phase II Nevada Middle Mile Network","10/16/2023 14:00:00","","Zayo Group, LLC","Bid to PO",""
"70CNR-S2475","Department of Conservation and Natural Resources","70CNR-NV24-21430","Nancy Feser","State Lands Management Systems Modernization","11/06/2023 14:00:00","","ENKON Information Systems (USA) Inc.","Bid to PO",""
"99SWC-S2474","Statewide Contracts","99SWC-NV24-19587 99SWC-NV24-19588","Joel Smedes","Occupational Health Services","10/02/2023 14:00:00","","Concentra Medical Centers, William Bee Ririe Hospital","Bid to PO",""
"70CNR-S2473","Department of Conservation and Natural Resources","","Heather Moon","BOOM LIFT","09/12/2023 12:00:00","","Pape' Material Handling, Inc,","Bid to PO","RX 704-35982"
"74BAI-S2472","Department of Business and Industry","74BAI-NV24-21234","Maggie Smith","Switch Installation","09/20/2023 14:00:00","","JFG Systems, Inc.","Bid to PO",""
"40DHHS-S2471","Department of Human Services","40DHHS-NV24-20477","Ryan Vradenburg","Procurement Assistance Support","10/30/2023 14:00:00","","Manatt Health Strategies Llc.","Bid to PO",""
"80DOT-S2469","Department of Transportation","","Marti Marsh","Spreader Cartridges","08/31/2023 13:00:00","","Enoven Truck Body + Equipment","Bid to PO","NDEQ024303"
"01GO-S2466","Governor's Office","","Joel Smedes","Preventing Outages and Enhancing the Resilience of the Electric Grid RFI for Gov Office of Energy","09/14/2023 14:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"30DOE-S2464","Department of Education","","Joel Smedes","Internal Data Dashboard RFI for the Department of Education","09/19/2023 17:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"99SWC-S2462","Statewide Contracts","","Heather Moon","Facilities MRO (NASPO)","09/25/2023 12:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"01GO-S2461","Governor's Office","01GO-NV24-19827","Joel Smedes","Advocacy and Federal Liaison Services","09/25/2023 14:00:00","","Cassidy & Associates, Inc.","Bid to PO",""
"99SWC-S2460","Statewide Contracts","99SWC-NV24-25565","Teri Becker","Voice and Data Transport Services","02/28/2024 14:00:00","","AT&T","Bid to PO",""
"04SOS-S2459","Secretary of State's Office","04SOS-NV24-18868","Annette Morfin","Ballot Printing","09/05/2023 13:00:00","","Fort Orange Press, Inc.","Bid to PO",""
"40DHHS-S2458","Department of Human Services","","Teri Becker","Radiation Measurement System","08/14/2023 14:00:00","","Fluke Electronics Corporation","Bid to PO","RX 406-35950"
"69CRC-S2457","Colorado River Commission","","Gina Goodman","CRCBF-09 HV Circuit Breaker","09/07/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"70CNR-S2456","Department of Conservation and Natural Resources","","Annette Morfin","Picnic Table","08/11/2023 17:00:00","","Outdoor Creations, Inc.","Bid to PO","704 00000035941"
"01GO-S2452","Governor's Office","","Joel Smedes","Assistance for (HOMES) & (HEAR) Rebate Programs  RFI for the Governor's Office of Energy ","09/05/2023 14:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"69CRC-S2451","Colorado River Commission","","Gina Goodman","CRCBF-11 Hardware & Assemblies","08/31/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"80DOT-S2450","Department of Transportation","","Annette Morfin","Promotional Items","08/08/2023 13:00:00","","4imprint, Inc.","Bid to PO","NDHQ30624"
"44DOC-S2448","Department of Corrections","","Annette Morfin","Alfalfa Hay","08/16/2023 13:00:00","","Berrington Custom Haystacking & Transport Inc. , Edward Viera","Bid to PO","440 PI000000921"
"13DAT-S2447","Department of Taxation","","Annette Morfin","OTC for Cigarette Stamps","08/28/2023 17:00:00","","Ashton Potter","Bid to PO","MBPO 13DAT-NV19-2612"
"99SWC-S2446","Statewide Contracts","","Heather Moon","Tires, Tubes and Services (NASPO)","09/13/2023 15:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"90DETR-S2443","Department of Employment, Training and Rehabilitation","90DETR-NV24-19548","Teri Becker","Janitorial Services St. Louis","09/27/2023 14:00:00","","Xcel Maintenance Services, INC.","Bid to PO",""
"40DHHS-S2442","Department of Human Services","","Ryan Vradenburg","RFI- E.H.R. Replacement Project","09/15/2023 15:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed",""
"40DHHS-S2441","Department of Human Services","","Ryan Vradenburg","Request for Information (RFI) for the Nevada Medicaid Managed Care Expansion","10/17/2023 16:00:00","","Bid Solicitation Closed - Award Exempt","Closed",""
"24VS-S2440","Department of Veterans Services","","Teri Becker","PDI Smart Healthcare Television","07/31/2023 14:00:00","","MDM Commercial Enterprises Inc","Bid to PO","RX 240-35945"
"65DPS-S2439","Department of Public Safety","","Heather Moon","Breathalyzers and Accessories","08/08/2023 12:00:00","","Lifeloc Technologies, Inc.","Bid to PO",""
"74BAI-S2438","Department of Business and Industry","74BAI-NV24-20769 74BAI-NV24-20770","Christy Staffen","Standard 3 USPAP Reviews","09/18/2023 14:00:00","","Advantage Appraisal Services, LLC, Dennis Badger & Associates, Inc.","Bid to PO","Christy Staffen"
"74BAI-S2436","Department of Business and Industry","74BAI-NV24-20161","Heather Moon","Claims and Regulatory Data System Enhancement Project","10/10/2023 14:00:00","","CapTech Ventures, Inc.","Bid to PO",""
"99SWC-S2435","Statewide Contracts","","Heather Moon","EV Charging Stations","08/23/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"30DOE-S2434","Department of Education","","Joel Smedes","K-12 Computer Science Curriculum and Instructional Materials RFQ for Education","08/28/2023 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"30DOE-S2433","Department of Education","","Joel Smedes","K-12 Health Education Curriculum and Instructional Materials RFQ for Education","08/28/2023 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"30DOE-S2432","Department of Education","","Joel Smedes","K-12 Math Curriculum and Instructional Materials RFQ for Education  ","08/28/2023 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"43ADG-S2431","Adjutant General","","Anthony Laskowski","Office of the Military Office Remodel","08/22/2023 00:00:00","","N/A","Closed",""
"99SWC-S2430","Statewide Contracts","","Teri Becker","MMCAP Infuse Medication Repackaging Services","08/02/2023 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse Reference 33180"
"BRDCOM-S2429","Independent Boards and Commissions","","Ryan Vradenburg","PUBLIC INFORMATION CONTRACT WORK","08/15/2023 17:00:00","","N/A","Closed",""
"99SWC-S2428","Statewide Contracts","99SWC-NV24-18710","Heather Moon","MOVING SERVICES - STATEWIDE","08/03/2023 14:00:00","","ACE WORLD WIDE WEST","Bid to PO",""
"80DOT-S2427","Department of Transportation","80DOT-NV24-18184","Marti Marsh","Glass Traffic Beads","08/07/2023 14:00:00","/bso/external/bidAckList.sdo","Potters Industries, LLC","Bid to PO","OTC"
"40DHHS-S2426","Department of Human Services","40DHHS-NV24-21242","Ryan Vradenburg","Surveillance and Utilization Review (SUR) Case Management and Data Analytics System.","10/06/2023 14:00:00","","Pulselight Holdings, Inc.","Bid to PO","SUR Case Management"
"43ADG-S2425","Adjutant General","","Anthony Laskowski","The State of Nevada, Office of the Military, is seeking bids/proposals from qualified contractors to","08/16/2023 00:00:00","","N/A","Closed",""
"70CNR-S2424","Department of Conservation and Natural Resources","70CNR-NV24-18798","Nancy Feser","Climate Pollution Reduction ","08/08/2023 14:00:00","","Sustainability Solutions Group ","Bid to PO",""
"40DHHS-S2423","Department of Human Services","","Sharon Knigge","Request for Proposal Galletti Way Window Repair","08/11/2023 14:00:00","","Award in Process","Opened","Heather Bugg"
"40DHHS-S2422","Department of Human Services","","Sharon Knigge","Request for Proposal Enterprise Parking","08/18/2023 14:00:00","","Award in Process","Opened","Heather Bugg"
"04SOS-S2421","Secretary of State's Office","","Ashley Griffitts","NSEC Conference","08/14/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"40DHHS-S2420","Department of Human Services","","Sharon Knigge","Request for Proposal Enterprise Exterior Lighting","08/18/2023 14:00:00","","N/A","Closed","Heather Bugg"
"99SWC-S2419","Statewide Contracts","","Annette Morfin","OMNIA - Grounds Maintenance Equipment and Services","08/08/2023 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","OMNI 2023261"
"44DOC-S2415","Department of Corrections","44DOC-NV24-20478","Annette Morfin","Monitoring/Management of Water and Waste WAter Systems","11/17/2023 10:00:00","","SP & B UTILITIES SERVICES INC ","Bid to PO","RFP 3405"
"10TCA-S2413","Department of Tourism And Cultural Affairs","","Annette Morfin","Camera, and Accessories","06/30/2023 13:00:00","","B & H Foto & Electronics Corp.","Bid to PO","101 00000035926"
