"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"99SWC-NV23-12607","","Punchout Catalog","Dell Marketing L.P, LLC dba Dell EMC","","$29,945,862.42","Statewide Contracts","3PS - Sent","08/21/2022","04/27/2027"
"99SWC-NV23-12604","","Mailing Equipment, Supplies and Maintenance (AZ, NASPO)","Bell and Howell, LLC","","$6,572.61","Statewide Contracts","3PS - Sent","06/01/2022","05/14/2026"
"99SWC-NV23-12600","","Wireless Voice, Data & Accessories (2019 - 2024) (NASPO ValuePoint - Utah)","Geotab USA Inc.","","$2,969,184.80","Statewide Contracts","3PS - Sent","01/27/2022","08/11/2029"
"99SWC-NV23-12599","","Mailing Equipment, Supplies and Maintenance (AZ, NASPO)","Pitney Bowes Inc","","$138,213.40","Statewide Contracts","3PS - Sent","05/15/2022","05/14/2026"
"99SWC-NV23-12552","","Prefab Restrooms, Showers, & Park Buildings (Sourcewell)","The Public Restroom Company","","$0.00","Statewide Contracts","3PS - Sent","08/12/2022","10/15/2025"
"99SWC-NV23-12500","","Software Value Added Reseller (SVAR)","Insight Public Sector, Inc.","","$763,855.88","Statewide Contracts","3PS - Sent","08/18/2022","04/27/2027"
"99SWC-NV23-12465","","Lowe's Walk-In Building Supplies (NASPO)","Lowe's Home Centers, LLC","","$3,755.41","Statewide Contracts","3PS - Sent","08/01/2022","07/31/2026"
"99SWC-NV22-9935","","Cloud Solutions (NASPO - Utah)","Visionary Integration Professionals, LLC","","$3,200,000.00","Statewide Contracts","3PS - Sent","10/26/2021","09/15/2026"
"99SWC-NV22-9550","","Grant Related Professional Services for Evaluation Services and Technical Assistance Services","Garrett Consulting, LLC","","$110,000.00","Statewide Contracts","3PS - Sent","01/01/2022","12/31/2025"
"99SWC-NV22-9549","","Grant Related Professional Services for Evaluation Services and Technical Assistance Services","RMC Research Corporation","","$0.00","Statewide Contracts","3PS - Sent","01/01/2022","12/31/2025"
"99SWC-NV22-9548","","Grant Related Professional Services for Evaluation Services and Technical Assistance Services","Strategic Progress, LLC","","$0.00","Statewide Contracts","3PS - Sent","01/01/2022","12/31/2025"
"99SWC-NV22-9546","","Grant Related Professional Services for Evaluation Services and Technical Assistance Services","PIRE","","$0.00","Statewide Contracts","3PS - Sent","01/01/2022","12/31/2025"
"99SWC-NV22-9483","","OEM AUTOMOTIVE PARTS AND SUPPLIES (SOURCEWELL - MN)","FACTORY MOTOR PARTS CO","","$38,481.26","Statewide Contracts","3PS - Sent","12/11/2020","12/14/2025"
"99SWC-NV22-9482","","Cloud Solutions (NASPO - Utah)","Accenture","","$951,471.36","Statewide Contracts","3PS - Sent","08/31/2021","09/15/2026"
"99SWC-NV22-9049","","Electrical, Lighting, (OMNIA-Kansas City, MO)","Graybar Electric Company","","$71,050.05","Statewide Contracts","3PS - Sent","07/13/2021","01/31/2029"
"99SWC-NV22-9032","","Gartner PASS PA NASPO","Gartner, Inc.","","$7,785,812.01","Statewide Contracts","3PS - Sent","07/14/2021","10/31/2025"
"99SWC-NV22-25808","","Direct Client Services","Healing Touch Home Care LLC","","$0.00","Statewide Contracts","3PS - Sent","08/07/2025","07/30/2029"
"99SWC-NV22-25807","","Direct Client Services","Inclusion Advocates LLC","","$0.00","Statewide Contracts","3PS - Sent","08/07/2025","07/30/2029"
"99SWC-NV22-25805","","Direct Client Services","Joppa Capital Ventures Inc","","$0.00","Statewide Contracts","3PS - Sent","08/07/2025","07/30/2029"
"99SWC-NV22-25802","","Direct Client Services","Health & Care Professional Network, LLC","","$0.00","Statewide Contracts","3PS - Sent","08/07/2025","07/30/2029"
"99SWC-NV22-25327","","Direct Client Services","F and G ABA, LLC","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-25326","","Direct Client Services","You Matter Mental Health LLC","","$0.00","Statewide Contracts","3PS - Sent","08/07/2025","07/30/2029"
"99SWC-NV22-25324","","Direct Client Services","Magnet ABA Therapy, LLC","","$0.00","Statewide Contracts","3PS - Sent","07/08/2025","06/30/2029"
"99SWC-NV22-25322","","Direct Client Services","Milestones Behavior Solutions","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-25318","","Direct Client Services","Tiny Triumphs LLC","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-25316","","Direct Client Services","ProHealth Therapeutic & Empowerment Services, LLC","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-25315","","Direct Client Services","Biggest Little Speech Co. PLLC","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-25314","","Direct Client Services","Trailways Residential LLC","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-25313","","Direct Client Services","Inspire Career Services","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-25311","","Direct Client Services","Independent Practice of Rebecca Richey PsyD","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-25310","","Direct Client Services","De Colores ABA","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/29/2029"
"99SWC-NV22-25263","","Direct Client Services","Ameduri Health Services, LLC","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-24782","","Direct Client Services","Frontline Therapy Solutions LLC","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24781","","Direct Client Services","Co-living Oasis","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-24613","","Direct Client Services","Northern Nevada Center for Behavioral Services","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24612","","Direct Client Services","Abundant Life Home Care LLC","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24611","","Direct Client Services","Empower Ability Center","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24609","","Direct Client Services","His * Home ","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24608","","Direct Client Services","Punsi LLC","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24607","","Direct Client Services","1 Insight Inc.","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24606","","Direct Client Services","Compassionate Hands Adult Day Services","","$1,925,000.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24604","","Direct Client Services","Reno Diagnostic Center","","$0.00","Statewide Contracts","3PS - Sent","12/11/2024","11/30/2028"
"99SWC-NV22-24603","","Direct Client Services","Lola's Legacy","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24602","","Direct Client Services","Birches Health","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24601","","Direct Client Services","Animal Consultants International","","$0.00","Statewide Contracts","3PS - Sent","06/10/2025","05/30/2029"
"99SWC-NV22-24600","","Direct Client Services","BELLS HOME CARE","","$0.00","Statewide Contracts","3PS - Sent","12/11/2024","11/30/2028"
"99SWC-NV22-24599","","Direct Client Services","Double Dose Serenity Care","","$200,000.00","Statewide Contracts","3PS - Sent","12/11/2024","11/30/2028"
"99SWC-NV22-24595","","Direct Client Services","Denise Ogletree McGuinn","","$122,400.00","Statewide Contracts","3PS - Sent","12/11/2024","11/30/2028"
"99SWC-NV22-24594","","Direct Client Services","Solutions of Change","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-24593","","Direct Client Services","Valetudo Pllc","","$0.00","Statewide Contracts","3PS - Sent","05/13/2025","04/30/2029"
"99SWC-NV22-23576","","Direct Client Services","NCLab","","$0.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23574","","Direct Client Services","Point Quest Therapeutic Services, LLC","","$0.00","Statewide Contracts","3PS - Sent","11/12/2024","10/30/2028"
"99SWC-NV22-23573","","Direct Client Services","Hope, Love, and Dream, Inc.","","$0.00","Statewide Contracts","3PS - Sent","11/12/2024","10/30/2028"
"99SWC-NV22-23572","","Direct Client Services","Jobs For Nevada's Graduates, Inc.","","$250,000.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23571","","Direct Client Services","The Parkey Group","","$0.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23570","","Direct Client Services","Blue Whale ABA, LLC","","$500,000.00","Statewide Contracts","3PS - Sent","11/12/2024","10/30/2028"
"99SWC-NV22-23569","","Direct Client Services","Green Training Services, LLC","","$0.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23568","","Direct Client Services","Holly Mcmicken (DBA Lunar13)","","$932,730.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23567","","Direct Client Services","Amerability, LLC","","$500,000.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23566","","Direct Client Services","The Whole Child LLC","","$932,730.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23565","","Direct Client Services","Amy's Eden Senior Care, LC","","$193,600.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23564","","Direct Client Services","Tilton's Therapy","","$0.00","Statewide Contracts","3PS - Sent","11/12/2024","10/30/2028"
"99SWC-NV22-23563","","Direct Client Services","Accelerated Behavior Support","","$500,000.00","Statewide Contracts","3PS - Sent","10/02/2024","09/30/2028"
"99SWC-NV22-23562","","Direct Client Services","Whole Dietetics LLC","","$50,000.00","Statewide Contracts","3PS - Sent","11/12/2024","10/30/2028"
"99SWC-NV22-23561","","Direct Client Services","Las Vegas Caring PCA","","$200,000.00","Statewide Contracts","3PS - Sent","11/12/2024","10/30/2028"
"99SWC-NV22-23560","","Direct Client Services","Insight Counseling & Wellness","","$0.00","Statewide Contracts","3PS - Sent","11/12/2024","10/30/2028"
"99SWC-NV22-22813","","Direct Client Services","Changing Minds LLC","","$0.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22812","","Direct Client Services","Ezra Hope 4 Homes LLC","","$0.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22811","","Direct Client Services","RABLS INC DBA ACHIEVEMENT CENTER FOR THERAPY","","$500,000.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22810","","Direct Client Services","Four Hearts Healthcare Solutions, LLC","","$150,000.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22809","","Direct Client Services","Shields Foundation","","$5,750,000.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22808","","Direct Client Services","Cre8ivity community services","","$0.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22807","","Direct Client Services","Ohana Senior Living LLC dba Ohana Senior Living Care 1","","$0.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22806","","Direct Client Services","KPW Community Services INC","","$0.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22803","","Direct Client Services","Certified Orientation & Mobility Services for the blind","","$100,000.00","Statewide Contracts","3PS - Sent","10/02/2024","08/30/2028"
"99SWC-NV22-22254","","Direct Client Services","Aliante Memory Care LLC","","$0.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22253","","Direct Client Services","Palm Home LLC","","$0.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22252","","Direct Client Services","W.A.Y.S. Home Care & Health Agency, LLC","","$0.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22251","","Direct Client Services","Self Sufficiency CBLA","","$0.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22250","","Direct Client Services","Angelene Lawrence","","$84,000.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22249","","Direct Client Services","Colleen Casen & Drew A Casen","","$0.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22248","","Direct Client Services","New Leaf Family Services & Wellness Center","","$0.00","Statewide Contracts","3PS - Sent","06/11/2024","04/30/2028"
"99SWC-NV22-22247","","Direct Client Services","LifeStation, Inc.","","$20,000.00","Statewide Contracts","3PS - Sent","06/11/2024","04/30/2028"
"99SWC-NV22-22244","","Direct Client Services","Maravilla ASL Services, LLC","","$0.00","Statewide Contracts","3PS - Sent","06/11/2024","04/30/2028"
"99SWC-NV22-22243","","Direct Client Services","The Comfort House","","$0.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22242","","Direct Client Services","Uniquely Me Therapies, LLC","","$500,000.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-22241","","Direct Client Services","The Capital City C.I.R.C.L.E.S. Initiative","","$100,000.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-22240","","Direct Client Services","Hearts of Passion Home Care LLC","","$120,000.00","Statewide Contracts","3PS - Sent","08/13/2024","07/30/2028"
"99SWC-NV22-22158","","Direct Client Services","Allred Psychological Services, LLC","","$200,000.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-22157","","Direct Client Services","Alert Medical Alarms Inc","","$10,000.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-21211","","Direct Client Services","A Behavioral Health Cooperative, LLC","","$0.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-21210","","Direct Client Services","Charming Home Care LLC","","$0.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-21208","","Direct Client Services","Indigo-Bane LLC","","$505,065.00","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-21207","","Direct Client Services","Plaxia Care LLC","","$0.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-21206","","Direct Client Services","Elle Equine, LLC","","$83,200.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-21205","","Direct Client Services","Reno Family Eye Care, R. Andrew Boren, OD, PC dba Reno Family Eye Care","","$107,195.32","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-21202","","Direct Client Services","Janell Anderson,LCSW,PLLC","","$548,000.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-20508","","Direct Client Services","AnyDay Dental","","$13,293.64","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-20507","","Direct Client Services","Tiltons Therapy For Tots","","$375,000.00","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-20506","","Direct Client Services","STEPS Behavioral Health","","$500,000.00","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-20504","","Direct Client Services","Mikolaj Psychiatry, PLLC","","$389,120.00","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-20502","","Direct Client Services","Icon Speech & Language Therapy","","$80,970.00","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-20501","","Direct Client Services","Our Home by Margaret","","$0.00","Statewide Contracts","3PS - Sent","01/09/2024","12/30/2027"
"99SWC-NV22-20500","","Direct Client Services","Elevations Adult Day Services LLC.","","$1,465,674.48","Statewide Contracts","3PS - Sent","01/09/2024","12/30/2027"
"99SWC-NV22-20499","","Direct Client Services","In the Flow Worship Center","","$0.00","Statewide Contracts","3PS - Sent","02/13/2024","01/30/2028"
"99SWC-NV22-20118","","Direct Client Services","GOALS for Autism, Inc.","","$1,295,032.70","Statewide Contracts","3PS - Sent","04/12/2022","01/31/2026"
"99SWC-NV22-20117","","Direct Client Services","Health and Human Services Foundation","","$891,096.00","Statewide Contracts","3PS - Sent","05/09/2023","04/30/2027"
"99SWC-NV22-20116","","Direct Client Services","DESERT SPRINGS LIVING","","$0.00","Statewide Contracts","3PS - Sent","12/12/2023","11/30/2027"
"99SWC-NV22-20054","","Direct Client Services","Royal Heights LLC","","$6,000,000.00","Statewide Contracts","3PS - Sent","12/12/2023","11/30/2027"
"99SWC-NV22-20053","","Direct Client Services","New Life Adult Day Health Care Center","","$201,932.00","Statewide Contracts","3PS - Sent","12/12/2023","11/30/2027"
"99SWC-NV22-20052","","Direct Client Services","Trifecta Team Jasa PLLC DBA Reaching for the Sky ABA","","$500,000.00","Statewide Contracts","3PS - Sent","12/12/2023","11/30/2027"
"99SWC-NV22-20051","","Direct Client Services","Leinova Care","","$200,050.00","Statewide Contracts","3PS - Sent","12/12/2023","11/30/2027"
"99SWC-NV22-20050","","Direct Client Services","Thomas Behavioral Health","","$240,500.00","Statewide Contracts","3PS - Sent","12/12/2023","11/30/2027"
"99SWC-NV22-20049","","Direct Client Services","A Team NV dba The Arc of Nevada","","$1,850,000.00","Statewide Contracts","3PS - Sent","05/14/2024","04/30/2028"
"99SWC-NV22-20048","","Direct Client Services","Informed Choices Employment Services LLC","","$50,000.00","Statewide Contracts","3PS - Sent","01/09/2024","12/30/2027"
"99SWC-NV22-20047","","Direct Client Services","Austin Major Group, LLC","","$0.00","Statewide Contracts","3PS - Sent","12/12/2023","11/30/2027"
"99SWC-NV22-18761","","Direct Client Services","AccessAbility","","$108,550.00","Statewide Contracts","3PS - Sent","10/10/2023","09/30/2027"
"99SWC-NV22-18760","","Direct Client Services","Inclusive Counseling","","$0.00","Statewide Contracts","3PS - Sent","09/12/2023","08/30/2027"
"99SWC-NV22-18758","","Direct Client Services","BEHAVIORAL FLUENCY, LLC","","$500,000.00","Statewide Contracts","3PS - Sent","09/12/2023","08/30/2027"
"99SWC-NV22-18757","","Direct Client Services","Ryan Jaseckas LLC","","$2,203,257.37","Statewide Contracts","3PS - Sent","09/12/2023","08/30/2027"
"99SWC-NV22-18756","","Direct Client Services","Deborah Arnow PMHNP Limited","","$0.00","Statewide Contracts","3PS - Sent","09/12/2023","08/30/2027"
"99SWC-NV22-18755","","Direct Client Services","National Youth Advocate Program","","$0.00","Statewide Contracts","3PS - Sent","09/12/2023","08/30/2027"
"99SWC-NV22-18753","","Direct Client Services","Desert Sage Resource Center","","$0.00","Statewide Contracts","3PS - Sent","09/12/2023","08/30/2027"
"99SWC-NV22-18752","","Direct Client Services","Weave Solutions, LLC","","$317,368.00","Statewide Contracts","3PS - Sent","09/12/2023","08/30/2027"
"99SWC-NV22-18751","","Direct Client Services","Las Vegas Family Home Care","","$200,000.00","Statewide Contracts","3PS - Sent","10/10/2023","09/30/2027"
"99SWC-NV22-18750","","Direct Client Services","from the heart llc","","$0.00","Statewide Contracts","3PS - Sent","10/11/2023","09/30/2027"
"99SWC-NV22-16911","","Direct Client Services","Southern California College of Optometry","","$263,790.06","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16910","","Direct Client Services","Sierra Nevada Chocolates","","$250,000.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16909","","Direct Client Services","A-Plus Community Counseling Services LLC","","$100,000.00","Statewide Contracts","3PS - Sent","05/14/2024","06/30/2027"
"99SWC-NV22-16908","","Direct Client Services","Professional Institute of Technology inc","","$150,000.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16906","","Direct Client Services","Autism Building Blocks","","$519,567.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16905","","Direct Client Services","Keystone Park LLC","","$400,100.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16904","","Direct Client Services","Connected Therapy","","$0.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16903","","Direct Client Services","Lovingly Behavioral Wellness, LLC","","$75,000.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16902","","Direct Client Services","Restorative Behavioral Health LLC","","$0.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16900","","Direct Client Services","Lets Move Physical Therapy","","$0.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16899","","Direct Client Services","SYLK","","$23,975.05","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16898","","Direct Client Services","Wyatt Home LLC","","$400,100.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16897","","Direct Client Services","Vegas Stronger","","$0.00","Statewide Contracts","3PS - Sent","08/08/2023","06/30/2027"
"99SWC-NV22-16111","","Fire Fuels Reduction and Vegetation Management Services","Integrity Pest Management, LLC","","$8,904.00","Statewide Contracts","3PS - Sent","09/13/2022","06/07/2027"
"99SWC-NV22-16110","","Fire Fuels Reduction and Vegetation Management Services","Progressive Pest Management","","$38,212.00","Statewide Contracts","3PS - Sent","01/10/2023","06/07/2027"
"99SWC-NV22-16109","","Fire Fuels Reduction and Vegetation Management Services","GE Forestry, Inc.","","$103,950.00","Statewide Contracts","3PS - Sent","01/10/2023","06/07/2027"
"99SWC-NV22-15704","","Direct Client Services","World Services for the Blind","","$1,007,652.40","Statewide Contracts","3PS - Sent","05/09/2023","04/30/2027"
"99SWC-NV22-15703","","Direct Client Services","Blindconnect, Inc","","$1,519,431.50","Statewide Contracts","3PS - Sent","06/27/2022","04/30/2026"
"99SWC-NV22-15702","","Direct Client Services","Eagles Nest","","$0.00","Statewide Contracts","3PS - Sent","06/27/2022","06/30/2026"
"99SWC-NV22-15701","","Direct Client Services","Nevada Autism Center LLC","","$563,960.55","Statewide Contracts","3PS - Sent","12/13/2022","11/30/2026"
"99SWC-NV22-15700","","Direct Client Services","Behavior and Education Inc","","$504,325.00","Statewide Contracts","3PS - Sent","05/09/2023","04/30/2027"
"99SWC-NV22-15282","","Direct Client Services","Yee Advanced Orthopedics & Sports Medicine LLC","","$75,000.00","Statewide Contracts","3PS - Sent","05/09/2023","04/30/2027"
"99SWC-NV22-15281","","Direct Client Services","St. Jude's Ranch for Children Nevada Region Inc","","$251,850.00","Statewide Contracts","3PS - Sent","05/09/2023","04/30/2027"
"99SWC-NV22-15218","","On Demand Interpretation and Translation Services","GLOBO Language Solutions, LLC","","$162,300.99","Statewide Contracts","3PS - Sent","03/14/2023","03/31/2026"
"99SWC-NV22-15149","","Direct Client Services","Maximus Us Services Inc. ","","$0.00","Statewide Contracts","3PS - Sent","05/09/2023","03/30/2027"
"99SWC-NV22-15148","","Direct Client Services","Autism Pride Center LLC","","$4,536,924.80","Statewide Contracts","3PS - Sent","05/09/2023","03/30/2027"
"99SWC-NV22-15147","","Direct Client Services","Friendly Homes of Vegas Valley","","$140,000.00","Statewide Contracts","3PS - Sent","05/09/2023","04/30/2027"
"99SWC-NV22-14950","","Direct Client Services","Catholic Charities of Northern Nevada","","$0.00","Statewide Contracts","3PS - Sent","03/08/2022","01/31/2026"
"99SWC-NV22-14948","","Direct Client Services","National Telecommuting Institute, Inc","","$102,700.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14947","","Direct Client Services","Creative Behavioral Connections","","$805,475.94","Statewide Contracts","3PS - Sent","10/11/2022","09/30/2026"
"99SWC-NV22-14946","","Direct Client Services","Family Support Council of Douglas County","","$1,538,864.48","Statewide Contracts","3PS - Sent","03/08/2022","01/31/2026"
"99SWC-NV22-14945","","Direct Client Services","Dosheen Cook PHD","","$547,186.36","Statewide Contracts","3PS - Sent","03/08/2022","01/31/2026"
"99SWC-NV22-14944","","Direct Client Services","Gregory P Brown MD Professional Corporation","","$47,417.00","Statewide Contracts","3PS - Sent","04/12/2022","01/31/2026"
"99SWC-NV22-14942","","Direct Client Services","Safe Zone","","$0.00","Statewide Contracts","3PS - Sent","06/27/2022","04/30/2026"
"99SWC-NV22-14941","","Direct Client Services","DAPTEM INCORPORATED","","$3,304,421.22","Statewide Contracts","3PS - Sent","03/08/2022","01/31/2026"
"99SWC-NV22-14940","","Direct Client Services","Reset Behavior LLC","","$500,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14939","","Direct Client Services","B.A.B.A. Services, LLC","","$1,082,208.95","Statewide Contracts","3PS - Sent","02/14/2023","01/31/2027"
"99SWC-NV22-14856","","Direct Client Services","A2Z Behavioral Interventions & Services","","$0.00","Statewide Contracts","3PS - Sent","05/09/2023","03/30/2027"
"99SWC-NV22-14855","","Direct Client Services","Prosthetic Center of Excellence","","$200,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14854","","Direct Client Services","Joma, LLC","","$570,400.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14853","","Direct Client Services","Custom Eyes, LLC","","$250,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14852","","Direct Client Services","Wanda J Rosenlund","","$338,670.55","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14851","","Direct Client Services","One Crown Services LLC","","$3,000,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14849","","Direct Client Services","Absolute Transformation","","$500,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14847","","Direct Client Services","Roman Empire ABA Services Inc","","$500,312.24","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14846","","Direct Client Services","Facilitate Joy, LLC","","$1,250,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14845","","Direct Client Services","Key Behavior Services","","$255,045.22","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14844","","Direct Client Services","Yesnick Vision Center","","$0.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14843","","Direct Client Services","Nevada Mental Care LLC","","$215,965.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14842","","Direct Client Services","As the Sun","","$0.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14841","","Direct Client Services","Sterling Adaptives, LLC","","$375,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14840","","Direct Client Services","Firefly Behavior Services","","$500,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14839","","Direct Client Services","Freedom Motors USA, Inc.","","$1,700,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14838","","Direct Client Services","Positive Behavior Supports Corp","","$500,000.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14837","","Direct Client Services","Fuente de Vida Mental Health Services","","$0.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
"99SWC-NV22-14836","","Direct Client Services","Therapy and Psychological Services of Nevada","","$206,250.00","Statewide Contracts","3PS - Sent","04/11/2023","03/30/2027"
